mydate,cday,dday,ma
2021-01-28,85,0,80.14285714285714
2021-01-29,81,1,77.42857142857143
2021-01-30,64,3,73.28571428571429
2021-01-31,0,0,63.0
2021-02-01,136,0,75.71428571428571
2021-02-02,42,4,74.14285714285714
2021-02-03,65,1,67.57142857142857
2021-02-04,73,2,65.85714285714286
2021-02-05,129,0,72.71428571428571
2021-02-06,55,0,71.42857142857143
2021-02-07,41,2,77.28571428571429
2021-02-08,23,0,61.142857142857146
2021-02-09,53,1,62.714285714285715
2021-02-10,39,0,59.0
2021-02-11,32,1,53.142857142857146
2021-02-12,60,2,43.285714285714285
2021-02-13,29,4,39.57142857142857
2021-02-14,17,0,36.142857142857146
2021-02-15,6,0,33.714285714285715
2021-02-16,24,1,29.571428571428573
2021-02-17,25,1,27.571428571428573
2021-02-18,45,1,29.428571428571427
2021-02-19,42,0,26.857142857142858
2021-02-20,54,1,30.428571428571427
2021-02-21,12,0,29.714285714285715
2021-02-22,26,1,32.57142857142857
2021-02-23,37,1,34.42857142857143
2021-02-24,33,2,35.57142857142857
2021-02-25,56,1,37.142857142857146
2021-02-26,38,0,36.57142857142857
2021-02-27,43,0,35.0
2021-02-28,52,0,40.714285714285715
2021-03-01,18,0,39.57142857142857
2021-03-02,27,0,38.142857142857146
2021-03-03,28,0,37.42857142857143
2021-03-04,38,2,34.857142857142854
2021-03-05,21,0,32.42857142857143
2021-03-06,25,0,29.857142857142858
2021-03-07,15,0,24.571428571428573
2021-03-08,22,0,25.142857142857142
2021-03-09,61,1,30.0
2021-03-10,30,1,30.285714285714285
2021-03-11,29,1,29.0
2021-03-12,34,0,30.857142857142858
2021-03-13,31,0,31.714285714285715
2021-03-14,28,0,33.57142857142857
2021-03-15,4,0,31.0
2021-03-16,35,2,27.285714285714285
2021-03-17,25,0,26.571428571428573
2021-03-18,43,1,28.571428571428573
2021-03-19,27,2,27.571428571428573
2021-03-20,28,0,27.142857142857142
2021-03-21,39,0,28.714285714285715
2021-03-22,23,1,31.428571428571427
2021-03-23,21,0,29.428571428571427
2021-03-24,37,0,31.142857142857142
2021-03-25,49,0,32.0
2021-03-26,27,0,32.0
2021-03-27,30,0,32.285714285714285
2021-03-28,16,0,29.0
2021-03-29,19,0,28.428571428571427
2021-03-30,17,1,27.857142857142858
2021-03-31,26,0,26.285714285714285
2021-04-01,38,0,24.714285714285715
2021-04-02,38,0,26.285714285714285
2021-04-03,36,0,27.142857142857142
2021-04-04,28,0,28.857142857142858
2021-04-05,29,0,30.285714285714285
2021-04-06,37,1,33.142857142857146
2021-04-07,30,0,33.714285714285715
2021-04-08,46,0,34.857142857142854
2021-04-09,32,0,34.0
2021-04-10,58,0,37.142857142857146
2021-04-11,46,0,39.714285714285715
2021-04-12,43,0,41.714285714285715
2021-04-13,36,1,41.57142857142857
2021-04-14,81,0,48.857142857142854
2021-04-15,56,0,50.285714285714285
2021-04-16,62,0,54.57142857142857
2021-04-17,79,0,57.57142857142857
2021-04-18,79,0,62.285714285714285
2021-04-19,66,0,65.57142857142857
2021-04-20,21,0,63.42857142857143
2021-04-21,111,0,67.71428571428571
2021-04-22,110,0,75.42857142857143
2021-04-23,120,0,83.71428571428571
2021-04-24,64,1,81.57142857142857
2021-04-25,109,0,85.85714285714286
2021-04-26,80,0,87.85714285714286
2021-04-27,46,0,91.42857142857143
2021-04-28,103,0,90.28571428571429
2021-04-29,79,0,85.85714285714286
2021-04-30,94,0,82.14285714285714
2021-05-01,59,0,81.42857142857143
2021-05-02,82,2,77.57142857142857
2021-05-03,74,0,76.71428571428571
2021-05-04,44,1,76.42857142857143
2021-05-05,59,0,70.14285714285714
2021-05-06,69,1,68.71428571428571
2021-05-07,79,1,66.57142857142857
2021-05-08,75,1,68.85714285714286
2021-05-09,75,0,67.85714285714286
2021-05-10,45,0,63.714285714285715
2021-05-11,56,0,65.42857142857143
2021-05-12,53,0,64.57142857142857
2021-05-13,58,0,63.0
2021-05-14,61,1,60.42857142857143
2021-05-15,53,0,57.285714285714285
2021-05-16,89,1,59.285714285714285
2021-05-17,30,1,57.142857142857146
2021-05-18,38,0,54.57142857142857
2021-05-19,41,1,52.857142857142854
2021-05-20,49,0,51.57142857142857
2021-05-21,55,0,50.714285714285715
2021-05-22,59,2,51.57142857142857
2021-05-23,52,0,46.285714285714285
2021-05-24,31,0,46.42857142857143
2021-05-25,41,0,46.857142857142854
2021-05-26,44,1,47.285714285714285
2021-05-27,54,2,48.0
2021-05-28,44,1,46.42857142857143
2021-05-29,42,0,44.0
2021-05-30,30,2,40.857142857142854
2021-05-31,31,0,40.857142857142854
2021-06-01,25,0,38.57142857142857
2021-06-02,41,0,38.142857142857146
2021-06-03,25,1,34.0
2021-06-04,50,1,34.857142857142854
2021-06-05,32,0,33.42857142857143
2021-06-06,35,0,34.142857142857146
2021-06-07,0,0,29.714285714285715
2021-06-08,33,1,30.857142857142858
2021-06-09,44,1,31.285714285714285
